ROOT,EKUMENSKI,NATLANG ANCESTRY,AUXLANG ANCESTRY,PART OF SPEECH,ENGLISH
AB,ab,,,adv.,"away, off"
ABANDON,abandon,,,n.,abandonment
ABANDON,abandone,,,v.,abandon
ABDRIFTE,abdrifte,,,v.,drift off
ABFARE,abfare,,,v.,drive away
ABFERE,abfere,,,v.,"move away, take away"
ABFLETE,abflete,,,v.,"fly off, fly away"
ABFLU,abflu,,,n.,runoff
ABFLU,abflue,,,v.,"run off, flow away"
ABHAUE,abhaue,G,,v.,"leave abruptly, do a runner, beat it, hit the road"
ABIT,abit,,,n.,departure
ABIT,abite,,,v.,depart
ABJETE,abjete,,,v.,throw away
ABKURSE,abkurse,,,v.,run away
ABLAKT,ablakte,,,v.,wean (cease giving breast milk to an offspring)
ABLUFT,abluft,G,,n.,exhaust air
ABMISE,abmise,,,v.,"send off, send away"
ABORT,aborte,,,v.,abort
ABORT,abortnis,,,n.,abortion
ABPRENDE,abprende,,,v.,take away
ABRUPT,abrupti,,,adj.,abrupt
ABRUPT,abruptnis,,,n.,abruptness
ABSCES,absces,,,n.,abscess
ABSENT,absenti,,,adj.,absent
ABSENT,absentnis,,,n.,absence
ABSNITE,absnite,G,,v.,cut off
ABSORPT,absorpte,,,v.,absorb
ABSORPT,absorptivi,,,adj.,absorptive
ABSORPT,absorptnis,,,n.,absorption
ABSTRAKT,abstrakti,,,adj.,abstract
ABSTRAKT,abstraktize,,,v.,abstract
ABSTRAKT,abstraktiznis,,,n.,abstraction
ABSTRAKT,abstraktnis,,,n.,abstractness
ABSURD,absurdi,,,adj.,absurd
ABSURD,absurdnis,,,n.,absurdity
ABŠAF,abšafe,G,,v.,"abolish, abrogate"
ABŠAF,abšafnis,,,n.,"abolition, abrogation"
ABŠID,abšid,G,,n.,farewell
ABŠID,abšide,,,v.,dismiss
ABŠID,abšide se,,,v.,"bid farewell, say goodbye"
ABVAJFLE,abvajfle,G,,v.,decease
ABVAŠE,abvaše,,,v.,wash away
ABVERV,abverve,,,v.,"entice, poach"
ABVERV,abvervnis,,,n.,enticement
ABVIMLE,abvimle,G,,v.,fob off
ABVIŠE,abviše,,,v.,wipe away
ABZAC,abzac,"G,S",,n.,"paragraph (grammar); indentation, indention (typogr.)"
ACERT,acerte,,,v.,assure
ACERT,acertnis,,,n.,assurance
ACID,acid,,,n.,acid
AD,ad,,,prep.,at
ADAPT,adaptabli,,,adj.,adaptable
ADAPT,adaptablinis,,,n.,"adaptability, adaptableness"
ADAPT,adapte,,,v.,adapt
ADAPT,adaptivi,,,adj.,adaptive
ADAPT,adaptnis,,,n.,adaption
ADHEZ,adheze,,,v.,adhere
ADHEZ,adhezer,,,n.,adherent
ADHEZ,"adhezion, adheznis",,,n.,adhesion
ADHINT,adhinte,,,v.,insinuate
ADHINT,adhintnis,,,n.,insinuation
ADICION,adicion,,,n.,= aditnis
ADIT,adite,,,v.,add
ADIT,aditnis,,,n.,addition
ADJUST,adjustabli,,,adj.,adjustable
ADJUST,adjuste,,,v.,adjust
ADJUST,adjustnis,,,n.,adjustment
ADMELD,admelde,,,v.,"check in, log in"
ADMELD,admeldnis,,,n.,"check-in, login"
ADMIR,admirabli,,,adj.,admirable
ADMIR,admire,,,v.,admire
ADMIR,admirer,,,n.,admirer
ADMIR,admirnis,,,n.,admiration
ADMIRAL,admiral,,,n.,admiral
ADOPT,adoptabli,,,adj.,adoptable
ADOPT,adopte,,,v.,adopt
ADOPT,adoptnis,,,n.,adoption
ADOR,adorabli,,,adj.,adorable
ADOR,adore,,,v.,adore
ADOR,adorer,,,n.,adorer
ADOR,adornis,,,n.,adoration
ADRES,adres,,,n.,address
ADRES,adrese,,,v.,adrese
ADULT,adulti,,,adj.,adult
ADULT,adultin,,,n.,adult
ADULT,adultnis,,,n.,adulthood
ADVENT,advent,,,n.,advent
ADVERB,adverb,,,n.,adverb
ADVERB,adverbli,,,adj.,adverbial
ADVERV,adverve,,,v.,recruit
ADVERV,advervnis,,,n.,"recruitment, recruiting"
ADVOKAT,advokat,,,n.,lawyer
ADVOKAT,advokaterija,,,n.,law firm
ADVOZ,advoz,,,n.,trailer (vehicle)
AEROZOL,aerozol,,,n.,aerosol
AFEKT,afekt,,,n.,affect
AFEKT,afektatnis,,,n.,affectation
AFEKT,afekte,,,v.,affect
AFEKT,afektnis,,,n.,affection
AFIRM,afirme,,,v.,affirm
AFIRM,afirmnis,,,n.,affirmation
AFLIKT,aflikte,,,v.,afflict
AFLIKT,afliktnis,,,n.,"affliction, chagrin"
AGEN,agencia,,,n.,agency
AGEN,agent,,,n.,agent
AGONIA,agonia,,,n.,agony
AGR,agri,,,adj.,sour
AGREGAT,agregat,,,n.,array
AGRES,agresivi,,,adj.,aggressive
AGRES,agresivnis,,,n.,aggressiveness
AGRES,"agresnis, agresion",,,n.,aggression
AJGENTLI,ajgentli,G,,adj.,= faktli
AJN,ajn,U,,adv.,"yet, still"
AJN,ajn ne,,,adv.,not yet
AJS,ajs,G,,n.,ice
AJS,ajsbreker,,,n.,icebreaker
AJS,ajskrema,,,n.,icecream
AJS,ajskremarija,,,n.,ice cream parlor
AJS,ajsli,,,adj.,icy
AJS,ajsmont,,,n.,iceberg
AJVA,ajva,T,,n.,quince
AJVAR,ajvar,,,n.,ajvar (condiment made principally from sweet bell peppers and eggplants)
AKACIA,akacia,,,n.,acacia
AKADEMIA,akademia,,,n.,academy
AKADEMIA,akademiali,,,adj.,academic
AKAR,akar,,,n.,acari
AKCENT,akcent,,,n.,"accent (stress or intonation, its mark or symbol; cf. prifon)"
AKCENT,akcente,,,v.,accentuate
AKCENT,akcentnis,,,n.,accentuation
AKCEPT,akceptabli,,,adj.,acceptable
AKCEPT,akcepte,,,v.,accept
AKCEPT,akceptnis,,,n.,acceptance
AKCIA,akcia,,,n.,"share, stock (finance)"
AKCIA,akciatenter,,,n.,shareholder
AKCIDENT,akcident,,,n.,accident
AKCION,akcion,,,n.,= aktnis
AKORD,akorde,,,v.,agree
AKORD,akordnis,,,n.,agreement
AKT,akt,,,n.,act (deed)
AKT,akte,,,v.,act
AKT,aktivi,,,adj.,active
AKT,aktivize,,,v.,activate
AKT,aktiviznis,,,n.,activation
AKT,aktivnis,,,n.,activity
AKT,aktnis,,,n.,action
AKT,akto,,,n.,act (in theater)
